var_Group;var_subG;var_Name;var_Source;var_Type;var_Key;var_Label;var_Short;var_Unit;Measured_by;max_repl;var_Complete;var_Comment;var_Method
general;general;cID;orig;C;1;compost ID;cID;-;ILVO;1;n;;
general;general;ID_LAB;orig;C;1;ID-LAB;ID-LAB;-;ILVO;1;n;;
general;general;comp_Code;orig;C;1;Compost code;Compost;-;ILVO;1;y;;
general;general;Project;orig;C;5;Project;Project;-;ILVO;1;y;;
general;general;Origin;orig;C;2;Origin;Origin;-;ILVO;1;y;country;
general;general;Farm_Com;orig;C;5;farm or commercial;Farm_com;-;ILVO;1;y;"com: composteerbedrijf; farm: boerderijcompost";
general;general;Special;orig;C;4;Small or special;Special;-;ILVO;1;y;y: small scale composting or special composting practice. If not: n;
general;general;sampling_Year;orig;C;2;Sampling year;Year;-;ILVO;1;y;;
general;general;Producer;orig;C;1;Producer;Producer;-;ILVO;1;;;
general;general;Feedstock;orig;C;5;Feedstock;Feedstock;-;ILVO;1;y;"farm_man: including farm yard manure; farm_plant: without farm yard manure";
general;general;Feedstock_grp;orig;C;5;Feedstock group;Feedstock_grp;-;ILVO;1;y;farm_plant, peat, wood belong to green, digestate to fvg, beam to wood or farm_man;
general;general;comp_Complete;orig;C;1;Completely analysed;Complete;-;ILVO;1;y;compost completely analysed (all variables);
physical;fraction;Stones_larger_5mm;orig;N;2;stones larger 5mm;Stones;%;ILVO;1;n;;CMA/2/IV/11
physical;fraction;Impurities_larger_2_mm;orig;N;2;impurities > 2 mm;Impurities;%;ILVO;1;n;;CMA/2/IV/11
chemical;fresh;pH_H2O;orig;N;3;pH H2O;pH_H2O;-;ILVO;1;;;EN13037, 1:5 extraction
chemical;fresh;EC;orig;N;4;EC;EC;µS/cm;ILVO;1;;;EN13038 1:5 extraction
chemical;fresh;NO3_N;orig;N;4;NO3 N;NO3_N;mg/l substrate;ILVO;1;;;EN13652, 1:5 extraction
chemical;fresh;NH4_N;orig;N;4;NH4 N;NH4_N;mg/l substrate;ILVO;1;;;EN13652, 1:5 extraction
chemical;fresh;NNO3_over_NNH4;calc;N;4;N-NO3/N-NH4;NNO3_over_NNH4;-;ILVO;1;;"ratio NNO3_over_NNH4; if below LOQ: calculation with LOQ/2";EN13652, 1:5 extraction
chemical;content;OM_dry;orig;N;5;OM dry;OM_dry;% / abs DM;ILVO;1;;;EN13039
chemical;content;OM_fresh;calc;N;2;OM fresh;OM_fresh;%/ fresh matter;ILVO;1;;=OM_dry*DM;EN13039
physical;basic;DM;orig;N;2;DM;DM;%/fresh matter;ILVO;1;;;EN13040
physical;basic;Moisture;calc;N;1;Moisture;Moisture;%/fresh matter;ILVO;1;;=100%-DM;EN13040
physical;basic;Volume_weight;orig;N;3;volume weight;Volweight;g/l fresh substr;ILVO;1;;;CMA2/IV/24 (based on EN13040 compacted bulk density)
chemical;stability;OUR;orig;N;4;OUR;OUR;mmol O2/kg OS/uur;ILVO;1;;oxygen uptake rate;CMA 2/IV/25, oxygen uptake rate
biological;weeds;Weed_seeds;orig;N;2;germinating weed seeds;weed_seeds;#/l;ILVO;1;;;CMA/2/IV/10
chemical;stability;Cellulose;calc;N;2;Cellulose;Cellulose;% / abs DM;ILVO;1;;Cellulose = ADF - ADL;"From Van Soest et. al, 1991. J Dairy Sci 74: 3583-3597 (Lignin=ADL, Cellulose = ADF - ADL, Hemicellulose = NDF-ADF; biodegradation potential = (hemicellulose+cellulose)/lignin"
chemical;stability;Hemicellulose;calc;N;2;Hemicellulose;Hemicellulose;% / abs DM;ILVO;1;;Hemicellulose = NDF-ADF;"From Van Soest et. al, 1991. J Dairy Sci 74: 3583-3597 (Lignin=ADL, Cellulose = ADF - ADL, Hemicellulose = NDF-ADF; biodegradation potential = (hemicellulose+cellulose)/lignin"
chemical;stability;Biodeg_pot;calc;N;4;Biodegradation potential;Biodeg_pot;-;ILVO;1;;biodegradation potential = (hemicellulose+cellulose)/lignin;"From Van Soest et. al, 1991. J Dairy Sci 74: 3583-3597 (Lignin=ADL, Cellulose = ADF - ADL, Hemicellulose = NDF-ADF; biodegradation potential = (hemicellulose+cellulose)/lignin"
chemical;stability;NDF;orig;N;1;NDF;NDF;% / abs DM;ILVO;1;;;"From Van Soest et. al, 1991. J Dairy Sci 74: 3583-3597 (Lignin=ADL, Cellulose = ADF - ADL, Hemicellulose = NDF-ADF; biodegradation potential = (hemicellulose+cellulose)/lignin"
chemical;stability;ADF;orig;N;1;ADF;ADF;% / abs DM;ILVO;1;;;"From Van Soest et. al, 1991. J Dairy Sci 74: 3583-3597 (Lignin=ADL, Cellulose = ADF - ADL, Hemicellulose = NDF-ADF; biodegradation potential = (hemicellulose+cellulose)/lignin"
chemical;stability;ADL;orig;N;1;ADL;ADL;% / abs DM;ILVO;1;;;"From Van Soest et. al, 1991. J Dairy Sci 74: 3583-3597 (Lignin=ADL, Cellulose = ADF - ADL, Hemicellulose = NDF-ADF; biodegradation potential = (hemicellulose+cellulose)/lignin"
chemical;total;N_total;orig;N;5;N total;N;% / abs DM;ILVO;1;;;Dumas via EN 13654-2 (compost)
chemical;content;TC;orig;N;3;TC;TC;% / abs DM;ILVO;1;;;"ISO 10694; BOC; BAM deel 1/10"
chemical;content;IC;orig;N;3;IC;IC;% / abs DM;ILVO;1;;;
chemical;content;OC;calc;N;5;OC;OC;% / abs DM;ILVO;1;;=TC-IC;"ISO 10694; BOC; BAM deel 1/10"
chemical;stability;C_over_N;calc;N;5;C over N;C.N;gOC/gN;ILVO;1;;=OC/TN;(TC - IC)/Ntotal)
