cID,ID_LAB,,Project,Origin,Farm_Com,Special,sampling_Year,Producer,Feedstock,Feedstock_grp,comp_Complete,Stones_larger_5mm,Impurities_larger_2_mm,pH_H2O,EC,NO3_N,NH4_N,NNO3_over_NNH4,OM_dry,OM_fresh,DM,Moisture,Volume_weight,OUR,Weed_seeds,Cellulose,Hemicellulose,Biodeg_pot,NDF,ADF,ADL,N_total,TC,IC,OC,C_over_N,Cd_total,Cr_total,Cu_total,Pb_total,Ni_total,Zn_total,Mn_total,As_total,P_total,K_total,Mg_total,Ca_total,Na_total,Fe_total,Al_total,Mn_CEC,Mg_CEC,Ca_CEC,K_CEC,Na_CEC,CEC_total,CEC_diff,total_bact_nspec,total_bact_gpos,total_Actinomycetes,total_bact_gneg,total_AM_fungi,total_Fungi,total_Biomass,prop_Fungi_Bact,ratio_Bact_Fungi,nem_total,nem_Simpson,nem_SW,nem_Channel,nem_Enrichment,nem_Structure,nem_Maturity,Part_size_31_5,Part_size_16,Part_size_12,Part_size_8,Part_size_4,Part_size_2,Part_size_1,Part_size_smaller_1,Bulk_dens_dry_r1,Bulk_dens_dry_r2,Bulk_dens_dry_r3,WHC_com_r1,WHC_com_r2,WHC_com_r3,WHC_com_24h_r1,WHC_com_24h_r2,WHC_com_24h_r3,WHC_com_min10kPa_r1,WHC_com_min10kPa_r2,WHC_com_min10kPa_r3,WHC_soil_r1,WHC_soil_r2,WHC_soil_r3,WHC_soil_24h_r1,WHC_soil_24h_r2,WHC_soil_24h_r3,WHC_soil_min10kPa_r1,WHC_soil_min10kPa_r2,WHC_soil_min10kPa_r3
C001,2019003168,SC_C_PCA_DeBree,Soilcom,Belgium,com,n,2019,De Bree,green,green,n,,,8.43,321,< 27.4894440534835,< 27.4894440534835,1,72.4,41.99,58,42,313.6,4.4,,,,,,,,1.01,,,,,0.29,5.80,13.62,14.10,3.10,65.00,,2.00,1.07,7.05,2.03,1.53431,,,,,,,,,,,156.83,240.78,54.47,25.75,2.40,80.32,537.24,0.16,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C002,2019009996,SC_C_Klintholm2019,Soilcom,Denmark,com,n,2019,Klintholm,green,green,n,3.81,0.000,8.49,645,210.6855554,< 11.302873145142,37.28,19.14,14.14,73.9,26.1,598.6,1.6,0,3.1,2.4,0.92,11.5,9.1,6,0.69,8.90,0.18,8.70,12.70,0.56,16.50,20.87,15.00,7.00,90.90,377.40,1.02,1.64,5.28,2.29,20.93,0.31,10.55,4.08,0.25,6.80,51.62,9.75,0.92,25.39,43.95,43.11,54.41,13.03,14.95,8.11,7.58,140.51,0.06,14.84,,0.11,2.81,38.54,40.78,96.89,2.04,0.00,0.00,0.00,1.63,6.71,7.98,12.25,71.43,467.74,,,1.35,1.33,1.30,1.26,1.33,1.30,0.54,0.53,0.52,0.68,0.69,0.67,0.66,0.69,0.67,0.32,0.32,0.31
C003,2019009997,SC_C_Sandtholdt2019,Soilcom,Denmark,com,n,2019,SandtholdtLyndelse,green,green,n,5.38,0.010,8.52,583,64.73604079,287.4493334,0.225208526,22.14,16.67,75.3,24.7,498.5,7.3,0,4.4,3.2,1.32,13.3,10.1,5.74,1.12,18.50,0.22,18.30,16.30,0.33,9.20,17.52,13.70,7.00,81.00,309.60,3.05,1.39,4.26,1.68,16.25,0.36,10.06,4.27,0.42,4.98,37.01,7.76,1.01,17.07,34.11,53.96,70.04,14.88,17.25,0.70,10.67,165.98,0.07,13.24,,0.12,2.78,2.94,67.25,96.23,1.78,0.00,21.43,0.00,1.90,7.08,7.70,10.35,51.54,379.21,,,1.49,1.47,1.43,1.40,1.47,1.43,0.51,0.50,0.51,0.64,0.65,0.67,0.62,0.65,0.67,0.29,0.30,0.30
C004,2019009998,SC_C_Wagro2019,Soilcom,The Netherlands,com,n,2019,Wagro Waddinxveen,green,green,n,1.06,0.000,7.79,618,136.1507277,< 11.2894467380837,24.12,17.18,10.08,58.7,41.3,754.5,3.5,0,3.1,3.1,1.15,11.6,8.5,5.4,0.73,11.30,0.36,10.90,14.90,0.45,17.50,20.12,30.80,11.20,105.30,270.60,5.08,1.20,4.54,3.20,24.13,0.50,11.30,5.85,0.22,5.36,48.68,6.77,1.13,21.93,40.23,69.12,58.86,11.59,36.70,5.50,16.19,196.05,0.09,10.17,,0.08,3.02,56.37,55.21,86.52,2.76,0.00,19.97,0.00,2.15,13.36,15.02,8.26,41.24,453.28,,,1.21,1.19,1.12,1.06,1.19,1.12,0.69,0.70,0.66,0.69,0.67,0.67,0.65,0.67,0.67,0.39,0.38,0.37
C005,2019010378,SC_C_VanIersel2019,Soilcom,The Netherlands,com,n,2019,Van Iersel,wood,green,n,0.72,0.040,8.1,739,< 15.6009696314645,< 15.6009696314645,1,24.83,13.23,53.3,46.7,601.3,1.6,0,4.9,3.2,0.86,17.5,14.3,9.44,1.04,14.60,0.09,14.60,14.00,0.58,13.00,24.02,25.90,6.40,116.90,292.70,1.02,1.69,5.32,2.16,14.22,0.53,7.11,3.80,0.24,8.39,44.99,10.83,1.87,36.33,29.99,43.31,60.89,13.90,11.08,7.14,4.88,137.05,0.04,23.62,,0.32,1.90,4.42,90.29,82.27,1.78,0.00,0.00,0.00,0.57,4.64,8.82,16.34,69.64,338.36,,,1.69,1.66,1.79,1.52,1.66,1.79,0.77,0.77,0.82,0.71,0.75,0.70,0.69,0.75,0.70,0.42,0.44,0.40
C006,2019010379,SC_C_Orgapower2019,Soilcom,The Netherlands,com,n,2019,Orgapower van Berkel Uden,green,green,n,0.54,0.000,7.42,756,< 12.2223091364205,< 12.2223091364205,1,15.3,9.79,64,36,639.2,3.1,0,2.8,2,0.78,10.9,8.9,6.14,0.91,12.40,0.09,12.30,13.50,0.39,8.70,39.19,19.90,7.00,90.20,181.60,1.01,1.33,3.29,1.28,9.58,0.30,4.96,2.83,0.27,7.66,45.34,9.53,1.53,32.60,31.73,41.32,45.41,9.01,15.88,1.31,5.95,115.68,0.05,17.25,,0.12,2.70,40.87,59.23,96.26,2.44,0.00,0.00,0.00,1.21,2.57,6.41,12.61,77.21,415.33,,,1.33,1.40,1.36,1.24,1.40,1.36,0.57,0.60,0.59,0.69,0.68,0.68,0.67,0.68,0.68,0.33,0.33,0.32
C007,2019010805,SC_C_Btzberg_2019,Soilcom,Germany,com,n,2019,Stadtreinigung Hamburg Btzberg,digestate,fvg,n,0.22,0.020,8.56,1205,52.954136,238.1031295,0.2224,28.31,14.41,50.9,49.1,515.7,4.7,0,6.3,4.6,0.94,22.5,17.9,11.63,1.77,24.40,0.30,24.10,13.60,0.48,10.80,40.60,28.20,4.40,124.00,210.20,1.02,2.50,9.41,2.65,23.08,1.66,5.17,2.76,0.16,11.33,49.98,25.00,6.87,41.12,52.22,122.69,164.79,31.19,20.91,7.58,22.56,362.83,0.07,13.67,,0.80,0.66,21.39,66.38,93.23,2.02,0.00,0.00,0.00,0.23,7.18,17.02,22.43,53.14,278.78,,,2.72,2.68,2.66,2.54,2.68,2.66,1.17,1.17,1.14,0.78,0.75,0.76,0.76,0.75,0.76,0.50,0.51,0.51
C008,2020000286,SC_C_Lubeck_Fertig2019,Soilcom,Germany,com,n,2019,EBL Biomassewerk Lbeck,green,green,n,1.02,0.020,8.33,652,< 14.1866509289419,< 14.1866509289419,1,31.44,22.95,73,27,482.8,4.9,0,8.1,2.9,1.05,21.4,18.5,10.46,1.08,21.30,0.07,21.20,19.70,0.41,12.20,25.99,26.70,7.30,115.00,228.80,1.04,1.60,4.71,2.33,22.13,0.43,10.20,3.29,0.23,9.62,53.37,11.14,1.46,41.76,34.06,22.64,40.03,11.00,8.71,0.78,6.40,85.12,0.08,11.15,,0.33,1.57,19.81,73.31,59.53,2.65,0.00,0.00,0.00,1.48,6.44,10.18,13.86,68.03,334.95,,,1.81,1.82,1.83,1.71,1.82,1.83,0.71,0.71,0.73,0.68,0.68,0.67,0.66,0.68,0.67,0.37,0.39,0.37
C009,2020000287,SC_C_Lubeck_Frisch2019,Soilcom,Germany,com,n,2019,EBL Biomassewerk Lbeck,digestate,fvg,n,0.10,0.010,8.36,1208,< 20.5905874659329,657.6633637,0.015654352,43.1,21.81,50.6,49.4,479.9,20,0,11.4,5.4,1.18,31,25.5,14.18,1.73,28.60,0.22,28.40,16.50,0.38,15.60,32.55,24.40,7.30,119.90,217.30,1.03,2.71,7.97,2.65,23.36,1.73,6.67,3.45,0.20,10.80,48.81,17.21,5.95,29.01,53.96,53.90,67.08,9.69,17.25,1.08,8.91,167.96,0.06,15.51,,0.29,1.62,2.21,92.19,11.45,1.08,0.00,0.00,0.00,3.52,13.71,22.19,22.48,38.10,230.45,,,3.02,2.92,2.92,2.79,2.92,2.92,1.27,1.22,1.22,0.70,0.70,0.74,0.68,0.70,0.74,0.45,0.48,0.53
C010,2020001183,SC_C_PCS_VerkoGreencompost2019,Soilcom,Belgium,com,n,2020,Verko,fvg,fvg,n,1.15,0.060,9.17,1982,30.68856037,1239.287419,0.024763069,38.88,23.13,59.5,40.5,443.6,5,0,10.2,7.1,1.25,31.1,24,13.83,2.06,27.10,0.35,26.80,13.00,0.62,13.10,40.33,34.90,6.10,140.00,194.80,2.05,3.85,15.46,4.06,26.57,2.36,6.99,3.45,0.11,13.99,54.95,37.35,10.08,40.21,76.27,24.45,50.93,11.56,4.57,0.33,2.64,89.22,0.03,30.28,,0.17,2.14,3.74,72.40,50.73,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
